province,kab_kota,quadbin,id,boundary,bottom_left_lon,bottom_left_lat,top_right_lon,top_right_lat
DKI JAKARTA,JAKARTA TIMUR,5254864071169146879,JAKARTA TIMUR - 5254864071169146879,"POLYGON((106.875 -6.31529853833003, 106.875 -6.33713739498854, 106.89697265625 -6.33713739498854, 106.89697265625 -6.31529853833003, 106.875 -6.31529853833003))",106.875,-6.33713739498854,106.89697265625,-6.31529853833003
DKI JAKARTA,JAKARTA TIMUR,5254864071202701311,JAKARTA TIMUR - 5254864071202701311,"POLYGON((106.875 -6.33713739498854, 106.875 -6.35897532723566, 106.89697265625 -6.35897532723566, 106.89697265625 -6.33713739498854, 106.875 -6.33713739498854))",106.875,-6.35897532723566,106.89697265625,-6.33713739498854
DKI JAKARTA,JAKARTA TIMUR,5254864071303364607,JAKARTA TIMUR - 5254864071303364607,"POLYGON((106.875 -6.35897532723566, 106.875 -6.38081233193828, 106.89697265625 -6.38081233193828, 106.89697265625 -6.35897532723566, 106.875 -6.35897532723566))",106.875,-6.38081233193828,106.89697265625,-6.35897532723566
DKI JAKARTA,JAKARTA UTARA,5254864045969768447,JAKARTA UTARA - 5254864045969768447,"POLYGON((106.875 -6.07501100068201, 106.875 -6.09685981888794, 106.89697265625 -6.09685981888794, 106.89697265625 -6.07501100068201, 106.875 -6.07501100068201))",106.875,-6.09685981888794,106.89697265625,-6.07501100068201
DKI JAKARTA,JAKARTA UTARA,5254864046070431743,JAKARTA UTARA - 5254864046070431743,"POLYGON((106.875 -6.09685981888794, 106.875 -6.11870774719085, 106.89697265625 -6.11870774719085, 106.89697265625 -6.09685981888794, 106.875 -6.09685981888794))",106.875,-6.11870774719085,106.89697265625,-6.09685981888794
DKI JAKARTA,JAKARTA UTARA,5254864046103986175,JAKARTA UTARA - 5254864046103986175,"POLYGON((106.875 -6.11870774719085, 106.875 -6.1405547824503, 106.89697265625 -6.1405547824503, 106.89697265625 -6.11870774719085, 106.875 -6.11870774719085))",106.875,-6.1405547824503,106.89697265625,-6.11870774719085
DKI JAKARTA,JAKARTA UTARA,5254864047546826751,JAKARTA UTARA - 5254864047546826751,"POLYGON((106.875 -6.1405547824503, 106.875 -6.16240092152658, 106.89697265625 -6.16240092152658, 106.89697265625 -6.1405547824503, 106.875 -6.1405547824503))",106.875,-6.16240092152658,106.89697265625,-6.1405547824503
DKI JAKARTA,JAKARTA PUSAT,5254864047546826751,JAKARTA PUSAT - 5254864047546826751,"POLYGON((106.875 -6.1405547824503, 106.875 -6.16240092152658, 106.89697265625 -6.16240092152658, 106.89697265625 -6.1405547824503, 106.875 -6.1405547824503))",106.875,-6.16240092152658,106.89697265625,-6.1405547824503
DKI JAKARTA,JAKARTA PUSAT,5254864047580381183,JAKARTA PUSAT - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047580381183,JAKARTA TIMUR - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA UTARA,5254864047580381183,JAKARTA UTARA - 5254864047580381183,"POLYGON((106.875 -6.16240092152658, 106.875 -6.18424616128059, 106.89697265625 -6.18424616128059, 106.89697265625 -6.16240092152658, 106.875 -6.16240092152658))",106.875,-6.18424616128059,106.89697265625,-6.16240092152658
DKI JAKARTA,JAKARTA TIMUR,5254864047681044479,JAKARTA TIMUR - 5254864047681044479,"POLYGON((106.875 -6.18424616128059, 106.875 -6.20609049857388, 106.89697265625 -6.20609049857388, 106.89697265625 -6.18424616128059, 106.875 -6.18424616128059))",106.875,-6.20609049857388,106.89697265625,-6.18424616128059
DKI JAKARTA,JAKARTA PUSAT,5254864047681044479,JAKARTA PUSAT - 5254864047681044479,"POLYGON((106.875 -6.18424616128059, 106.875 -6.20609049857388, 106.89697265625 -6.20609049857388, 106.89697265625 -6.18424616128059, 106.875 -6.18424616128059))",106.875,-6.20609049857388,106.89697265625,-6.18424616128059
DKI JAKARTA,JAKARTA TIMUR,5254864047714598911,JAKARTA TIMUR - 5254864047714598911,"POLYGON((106.875 -6.20609049857388, 106.875 -6.22793393026867, 106.89697265625 -6.22793393026867, 106.89697265625 -6.20609049857388, 106.875 -6.20609049857388))",106.875,-6.22793393026867,106.89697265625,-6.20609049857388
DKI JAKARTA,JAKARTA TIMUR,5254864048083697663,JAKARTA TIMUR - 5254864048083697663,"POLYGON((106.875 -6.22793393026867, 106.875 -6.24977645322781, 106.89697265625 -6.24977645322781, 106.89697265625 -6.22793393026867, 106.875 -6.22793393026867))",106.875,-6.24977645322781,106.89697265625,-6.22793393026867
DKI JAKARTA,JAKARTA TIMUR,5254864048117252095,JAKARTA TIMUR - 5254864048117252095,"POLYGON((106.875 -6.24977645322781, 106.875 -6.27161806431486, 106.89697265625 -6.27161806431486, 106.89697265625 -6.24977645322781, 106.875 -6.24977645322781))",106.875,-6.27161806431486,106.89697265625,-6.24977645322781
DKI JAKARTA,JAKARTA TIMUR,5254864048217915391,JAKARTA TIMUR - 5254864048217915391,"POLYGON((106.875 -6.27161806431486, 106.875 -6.29345876039398, 106.89697265625 -6.29345876039398, 106.89697265625 -6.27161806431486, 106.875 -6.27161806431486))",106.875,-6.29345876039398,106.89697265625,-6.27161806431486
DKI JAKARTA,JAKARTA TIMUR,5254864048251469823,JAKARTA TIMUR - 5254864048251469823,"POLYGON((106.875 -6.29345876039398, 106.875 -6.31529853833003, 106.89697265625 -6.31529853833003, 106.89697265625 -6.29345876039398, 106.875 -6.29345876039398))",106.875,-6.31529853833003,106.89697265625,-6.29345876039398
DKI JAKARTA,JAKARTA UTARA,5254863312620879871,JAKARTA UTARA - 5254863312620879871,"POLYGON((106.72119140625 -6.07501100068201, 106.72119140625 -6.09685981888794, 106.7431640625 -6.09685981888794, 106.7431640625 -6.07501100068201, 106.72119140625 -6.07501100068201))",106.72119140625,-6.09685981888794,106.7431640625,-6.07501100068201
DKI JAKARTA,JAKARTA UTARA,5254863312721543167,JAKARTA UTARA - 5254863312721543167,"POLYGON((106.72119140625 -6.09685981888794, 106.72119140625 -6.11870774719085, 106.7431640625 -6.11870774719085, 106.7431640625 -6.09685981888794, 106.72119140625 -6.09685981888794))",106.72119140625,-6.11870774719085,106.7431640625,-6.09685981888794
DKI JAKARTA,JAKARTA BARAT,5254863312721543167,JAKARTA BARAT - 5254863312721543167,"POLYGON((106.72119140625 -6.09685981888794, 106.72119140625 -6.11870774719085, 106.7431640625 -6.11870774719085, 106.7431640625 -6.09685981888794, 106.72119140625 -6.09685981888794))",106.72119140625,-6.11870774719085,106.7431640625,-6.09685981888794
DKI JAKARTA,JAKARTA BARAT,5254863312755097599,JAKARTA BARAT - 5254863312755097599,"POLYGON((106.72119140625 -6.11870774719085, 106.72119140625 -6.1405547824503, 106.7431640625 -6.1405547824503, 106.7431640625 -6.11870774719085, 106.72119140625 -6.11870774719085))",106.72119140625,-6.1405547824503,106.7431640625,-6.11870774719085
